loaded 10000 candidate prompts (skip_lines=0)
  gen 2600 (skip 0) | gen_tok 1155893 | 117.2 tok/s aggregate | 9861.0s
  gen 2625 (skip 0) | gen_tok 1168156 | 117.4 tok/s aggregate | 9952.1s
  gen 2650 (skip 0) | gen_tok 1179488 | 117.7 tok/s aggregate | 10024.7s
  gen 2675 (skip 0) | gen_tok 1189728 | 117.7 tok/s aggregate | 10104.8s
  gen 2700 (skip 0) | gen_tok 1200715 | 117.9 tok/s aggregate | 10187.2s
  gen 2725 (skip 0) | gen_tok 1212368 | 118.0 tok/s aggregate | 10273.1s
  gen 2750 (skip 0) | gen_tok 1223246 | 118.1 tok/s aggregate | 10357.4s
  gen 2775 (skip 0) | gen_tok 1234050 | 118.2 tok/s aggregate | 10440.6s
  gen 2800 (skip 0) | gen_tok 1244925 | 118.3 tok/s aggregate | 10524.2s
  gen 2825 (skip 0) | gen_tok 1256113 | 118.4 tok/s aggregate | 10611.2s
  gen 2850 (skip 0) | gen_tok 1267374 | 118.6 tok/s aggregate | 10689.1s
  gen 2875 (skip 0) | gen_tok 1277413 | 118.7 tok/s aggregate | 10762.3s
  gen 2900 (skip 0) | gen_tok 1288911 | 118.8 tok/s aggregate | 10853.6s
  gen 2925 (skip 0) | gen_tok 1300090 | 118.8 tok/s aggregate | 10942.6s
  gen 2950 (skip 0) | gen_tok 1310683 | 119.0 tok/s aggregate | 11013.9s
  gen 2975 (skip 0) | gen_tok 1321631 | 119.1 tok/s aggregate | 11093.7s
  gen 3000 (skip 0) | gen_tok 1332460 | 119.2 tok/s aggregate | 11180.5s
  gen 3025 (skip 0) | gen_tok 1343534 | 119.2 tok/s aggregate | 11266.6s
  gen 3050 (skip 0) | gen_tok 1354720 | 119.3 tok/s aggregate | 11356.1s
  gen 3075 (skip 0) | gen_tok 1365779 | 119.4 tok/s aggregate | 11437.9s
  gen 3100 (skip 0) | gen_tok 1376669 | 119.5 tok/s aggregate | 11516.6s
  gen 3125 (skip 0) | gen_tok 1387758 | 119.7 tok/s aggregate | 11594.4s
  gen 3150 (skip 0) | gen_tok 1398951 | 119.8 tok/s aggregate | 11673.9s
  gen 3175 (skip 0) | gen_tok 1409600 | 119.9 tok/s aggregate | 11760.0s
  gen 3200 (skip 0) | gen_tok 1421170 | 120.0 tok/s aggregate | 11847.1s
  gen 3225 (skip 0) | gen_tok 1432351 | 120.0 tok/s aggregate | 11935.4s
  gen 3250 (skip 0) | gen_tok 1443735 | 120.1 tok/s aggregate | 12023.3s
  gen 3275 (skip 0) | gen_tok 1454792 | 120.2 tok/s aggregate | 12105.1s
  gen 3300 (skip 0) | gen_tok 1466275 | 120.3 tok/s aggregate | 12190.5s
  gen 3325 (skip 0) | gen_tok 1477591 | 120.4 tok/s aggregate | 12275.7s
  gen 3350 (skip 0) | gen_tok 1488556 | 120.4 tok/s aggregate | 12361.8s
  gen 3375 (skip 0) | gen_tok 1499636 | 120.5 tok/s aggregate | 12449.9s
  gen 3400 (skip 0) | gen_tok 1511147 | 120.6 tok/s aggregate | 12531.9s
  gen 3425 (skip 0) | gen_tok 1522792 | 120.6 tok/s aggregate | 12622.0s
  gen 3450 (skip 0) | gen_tok 1534210 | 120.8 tok/s aggregate | 12700.7s
  gen 3475 (skip 0) | gen_tok 1545114 | 120.6 tok/s aggregate | 12808.7s
  gen 3500 (skip 0) | gen_tok 1556183 | 120.4 tok/s aggregate | 12924.8s
  gen 3525 (skip 0) | gen_tok 1567943 | 120.5 tok/s aggregate | 13010.9s
  gen 3550 (skip 0) | gen_tok 1578308 | 120.6 tok/s aggregate | 13087.3s
  gen 3575 (skip 0) | gen_tok 1588752 | 120.7 tok/s aggregate | 13165.1s
  gen 3600 (skip 0) | gen_tok 1598626 | 120.7 tok/s aggregate | 13241.1s
  gen 3625 (skip 0) | gen_tok 1608920 | 120.7 tok/s aggregate | 13324.5s
  gen 3650 (skip 0) | gen_tok 1620595 | 120.8 tok/s aggregate | 13417.8s
  gen 3675 (skip 0) | gen_tok 1631856 | 120.8 tok/s aggregate | 13509.0s
  gen 3700 (skip 0) | gen_tok 1643458 | 120.9 tok/s aggregate | 13590.7s
  gen 3725 (skip 0) | gen_tok 1654637 | 121.1 tok/s aggregate | 13668.0s
  gen 3750 (skip 0) | gen_tok 1665459 | 121.1 tok/s aggregate | 13749.3s
  gen 3775 (skip 0) | gen_tok 1677307 | 121.2 tok/s aggregate | 13835.5s
  gen 3800 (skip 0) | gen_tok 1689196 | 121.3 tok/s aggregate | 13921.6s
  gen 3825 (skip 0) | gen_tok 1700141 | 121.4 tok/s aggregate | 14009.3s
  gen 3850 (skip 0) | gen_tok 1711693 | 121.4 tok/s aggregate | 14097.6s
  gen 3875 (skip 0) | gen_tok 1722378 | 121.5 tok/s aggregate | 14171.8s
  gen 3900 (skip 0) | gen_tok 1733990 | 121.6 tok/s aggregate | 14259.5s
  gen 3925 (skip 0) | gen_tok 1744592 | 121.6 tok/s aggregate | 14342.9s
  gen 3950 (skip 0) | gen_tok 1756638 | 121.7 tok/s aggregate | 14432.1s
  gen 3975 (skip 0) | gen_tok 1767807 | 121.8 tok/s aggregate | 14512.5s
  gen 4000 (skip 0) | gen_tok 1779026 | 121.9 tok/s aggregate | 14594.5s
  gen 4025 (skip 0) | gen_tok 1789574 | 122.0 tok/s aggregate | 14668.3s
  gen 4050 (skip 0) | gen_tok 1801267 | 122.1 tok/s aggregate | 14754.5s
  gen 4075 (skip 0) | gen_tok 1812463 | 122.2 tok/s aggregate | 14836.2s
  gen 4100 (skip 0) | gen_tok 1823712 | 122.2 tok/s aggregate | 14922.2s
  gen 4125 (skip 0) | gen_tok 1834080 | 122.2 tok/s aggregate | 15003.0s
  gen 4150 (skip 0) | gen_tok 1844251 | 122.3 tok/s aggregate | 15082.0s
  gen 4175 (skip 0) | gen_tok 1856161 | 122.4 tok/s aggregate | 15168.9s
  gen 4200 (skip 0) | gen_tok 1866741 | 122.4 tok/s aggregate | 15250.3s
  gen 4225 (skip 0) | gen_tok 1878411 | 122.5 tok/s aggregate | 15336.2s
  gen 4250 (skip 0) | gen_tok 1889888 | 122.5 tok/s aggregate | 15423.1s
  gen 4275 (skip 0) | gen_tok 1900855 | 122.6 tok/s aggregate | 15498.3s
  gen 4300 (skip 0) | gen_tok 1911744 | 122.7 tok/s aggregate | 15576.9s
  gen 4325 (skip 0) | gen_tok 1923142 | 122.8 tok/s aggregate | 15666.5s
  gen 4350 (skip 0) | gen_tok 1935563 | 122.8 tok/s aggregate | 15758.4s
  gen 4375 (skip 0) | gen_tok 1946174 | 122.9 tok/s aggregate | 15833.1s
  gen 4400 (skip 0) | gen_tok 1957363 | 122.9 tok/s aggregate | 15921.4s
